url,title,geographic_area,neighborhoods,umbrella,author,date
https://www.publicsource.org/sewickley-black-history-preservation-book-film-fundraising/,Black Sewickley residents preserve their surprising history through story and film,North Side,Sewickley,Allegheny County,Gregory Laski,2025-01-02T05:30:00-05:00
https://www.publicsource.org/biden-blocks-deal-to-sell-u-s-steel-saying-it-should-be-domestically-owned-and-operated/,"Biden blocks deal to sell U.S. Steel, saying it should be domestically owned and operated",Central Pittsburgh,"Braddock, Clairton",Allegheny County,"Jacob Fischler, Pennsylvania Capital-Star",2025-01-03T10:27:39-05:00
https://www.publicsource.org/us-steel-sale-block-nippon-pittsburgh-complicated-industrial-past-essay/,U.S. Steel no-sale another chapter in ‘a past that is long since gone’,Central Pittsburgh,"Braddock, Clairton",Allegheny County,Essay by Christopher Briem,2025-01-03T15:54:56-05:00
https://www.publicsource.org/first-step-recovery-homes-mckeesport-addiction-center-new-facility-housing/,"Once teetering, First Step Recovery Homes takes a big step forward with new McKeesport facility",Central Pittsburgh,McKeesport,Allegheny County,More by Rich Lord,2025-01-06T05:30:00-05:00
https://www.publicsource.org/manchester-esplanade-development-pittsburgh-registered-community-organization-program/,One Manchester group ‘waiting for word’ after another got the city’s official nod,North Side,"Manchester, Chateau",Pittsburgh,More by Eric Jankiewicz,2025-01-07T05:30:00-05:00
https://www.publicsource.org/manchester-pittsburgh-registered-community-organization-mcc-neighbors/,Timeline: How Pittsburgh officials decided who speaks for Manchester,North Side,"Manchester, Chateau",Pittsburgh,More by Rich Lord,2025-01-07T05:30:00-05:00
https://www.publicsource.org/pittsburgh-registered-community-organization-program-development-divisive-system/,How do Pittsburgh neighborhoods weigh in on development? Via a system that’s sometimes divisive.,"North Side, Lower East End","Manchester, Chateau",Pittsburgh,More by Eric Jankiewicz,2025-01-09T05:30:00-05:00
https://www.publicsource.org/moving-dc-to-hometown-pittsburgh-low-cost-self-employed-essay/,Pittsburgh’s low costs saved me from a D.C. desk job and kept alive my creativity,North Side,"Moon Township, Sewickley","Pittsburgh, Allegheny County",First-person essay by Kate Oczypok,2025-01-10T05:30:00-05:00
https://www.publicsource.org/manchester-neighbors-rco-registered-community-organization-esplanade-development/,"Ahead of Esplanade, Manchester now has two groups with development standing",North Side,"Manchester, Chateau",Pittsburgh,More by Eric Jankiewicz,2025-01-10T16:15:08-05:00
https://www.publicsource.org/trump-presidency-potential-changes-pittsburgh-immigration-abortion-environment-infrastructure/,Four ways Trump could bring changes for Pittsburgh residents,South Pittsburgh,"Beechview, Coraopolis, Bethel Park, Squirrel Hill","Pittsburgh, Allegheny County",More by Charlie Wolfson,2025-01-13T05:30:00-05:00
https://www.publicsource.org/pittsburgh-seniors-black-dementia-alzheimers-caregiver-respite/,"As Pittsburgh ages, Black families shoulder heavy dementia care burden",Upper East End,"Swissvale, Larimer",Pittsburgh,Amber Frantz,2025-01-14T05:30:00-05:00
