Story,Umbrella,Geographic area,Neighborhoods,Other topics,Umbrella,Geographic area,Neighborhoods,SocialBrief
https://www.publicsource.org/sewickley-black-history-preservation-book-film-fundraising/,Allegheny County,,Sewickley,,Allegheny County,Northwest suburbs,SEWICKLEY,📣 Sewickley Black History Preservation Book Film Fundraising. This story spotlights Northwest suburbs communities like SEWICKLEY. Read more @PublicSource! #Pittsburgh
https://www.publicsource.org/biden-blocks-deal-to-sell-u-s-steel-saying-it-should-be-domestically-owned-and-operated/,Allegheny County,,"Braddock, Clairton",,Allegheny County,Mon Valley,"BRADDOCK, CLAIRTON","📣 Biden Blocks Deal To Sell U S Steel Saying It Should Be Domestically Owned And Operated. This story spotlights Mon Valley communities like BRADDOCK, CLAIRTON. Read more @PublicSource! #Pittsburgh"
https://www.publicsource.org/us-steel-sale-block-nippon-pittsburgh-complicated-industrial-past-essay/,Allegheny County,,"Braddock, Clairton",,Allegheny County,Mon Valley,"BRADDOCK, CLAIRTON","📣 Us Steel Sale Block Nippon Pittsburgh Complicated Industrial Past Essay. This story spotlights Mon Valley communities like BRADDOCK, CLAIRTON. Read more @PublicSource! #Pittsburgh"
https://www.publicsource.org/first-step-recovery-homes-mckeesport-addiction-center-new-facility-housing/,Allegheny County,,McKeesport,,Allegheny County,Mon Valley,MCKEESPORT,📣 First Step Recovery Homes Mckeesport Addiction Center New Facility Housing. This story spotlights Mon Valley communities like MCKEESPORT. Read more @PublicSource! #Pittsburgh
https://www.publicsource.org/manchester-esplanade-development-pittsburgh-registered-community-organization-program/,Pittsburgh,North Side,"Manchester, Chateau",Esplanade,Pittsburgh,North Side,"MANCHESTER, CHATEAU","📣 Manchester Esplanade Development Pittsburgh Registered Community Organization Program. This story spotlights North Side communities like MANCHESTER, CHATEAU. Read more @PublicSource! #Pittsburgh"
https://www.publicsource.org/manchester-pittsburgh-registered-community-organization-mcc-neighbors/,Pittsburgh,North Side,"Manchester, Chateau",Esplanade,Pittsburgh,North Side,"MANCHESTER, CHATEAU","📣 Manchester Pittsburgh Registered Community Organization Mcc Neighbors. This story spotlights North Side communities like MANCHESTER, CHATEAU. Read more @PublicSource! #Pittsburgh"
https://www.publicsource.org/pittsburgh-registered-community-organization-program-development-divisive-system/,Pittsburgh,North Side,"Manchester, Chateau",Esplanade,Pittsburgh,North Side,"MANCHESTER, CHATEAU","📣 Pittsburgh Registered Community Organization Program Development Divisive System. This story spotlights North Side communities like MANCHESTER, CHATEAU. Read more @PublicSource! #Pittsburgh"
https://www.publicsource.org/moving-dc-to-hometown-pittsburgh-low-cost-self-employed-essay/,"Pittsburgh, Allegheny County",,"Moon Township, Sewickley",,"Pittsburgh, Allegheny County",Northwest suburbs,"Moon Township, SEWICKLEY","📣 Moving Dc To Hometown Pittsburgh Low Cost Self Employed Essay. This story spotlights Northwest suburbs communities like Moon Township, SEWICKLEY. Read more @PublicSource! #Pittsburgh"
https://www.publicsource.org/manchester-neighbors-rco-registered-community-organization-esplanade-development/,Pittsburgh,North Side,"Manchester, Chateau",Esplanade,Pittsburgh,North Side,"MANCHESTER, CHATEAU","📣 Manchester Neighbors Rco Registered Community Organization Esplanade Development. This story spotlights North Side communities like MANCHESTER, CHATEAU. Read more @PublicSource! #Pittsburgh"
https://www.publicsource.org/trump-presidency-potential-changes-pittsburgh-immigration-abortion-environment-infrastructure/,"Pittsburgh, Allegheny County",,"Beechview, Coraopolis, Bethel Park, Squirrel Hill",,"Pittsburgh, Allegheny County","Ohio River Valley, South Hills, South Pittsburgh","BEECHVIEW, CORAOPOLIS, BETHEL PARK, Squirrel Hill","📣 Trump Presidency Potential Changes Pittsburgh Immigration Abortion Environment Infrastructure. This story spotlights Ohio River Valley, South Hills, South Pittsburgh communities like BEECHVIEW, CORAOPOLIS, BETHEL PARK, Squirrel Hill. Read more @PublicSource! #Pittsburgh"
