Story,Umbrella,GeographicArea,Neighborhoods,SocialAbstract
https://www.publicsource.org/sewickley-black-history-preservation-book-film-fundraising/,Allegheny County,North Side,Sewickley,"""Discover the untold, vibrant Black history of Sewickley as local residents rewrite the 'rich' and 'white' narrative of this Pittsburgh suburb. #SewickleyUncovered"""
https://www.publicsource.org/biden-blocks-deal-to-sell-u-s-steel-saying-it-should-be-domestically-owned-and-operated/,Allegheny County,Central Pittsburgh,"Braddock, Clairton","""Biden halts U.S. Steel's sale to Japan's Nippon Steel, advocating for domestic ownership. U.S. Steel workers rally in freezing temps. #Economy #USSteel"""
https://www.publicsource.org/us-steel-sale-block-nippon-pittsburgh-complicated-industrial-past-essay/,Allegheny County,Central Pittsburgh,"Braddock, Clairton","""Unfulfilled Nippon Steel acquisition of U.S. Steel highlights Pittsburgh's ongoing struggle to reconcile with its steel industry past. #USSteel #Pittsburgh"""
https://www.publicsource.org/first-step-recovery-homes-mckeesport-addiction-center-new-facility-housing/,Allegheny County,Central Pittsburgh,McKeesport,"""First Step Recovery Homes bounces back from financial hardship, opening a new 40-bed facility in McKeesport - a giant leap for local addiction recovery!"""
https://www.publicsource.org/manchester-esplanade-development-pittsburgh-registered-community-organization-program/,Pittsburgh,North Side,"Manchester, Chateau","""Manchester group plans to 'agitate, agitate, agitate' after another group gets city nod for the Esplanade development. Stay tuned for updates!"""
https://www.publicsource.org/manchester-pittsburgh-registered-community-organization-mcc-neighbors/,Pittsburgh,North Side,"Manchester, Chateau","""Drama unfolds in Pittsburgh's Manchester neighborhood as groups vie for the voice of their community. Who will emerge as the official registered organization? Stay tuned!"""
https://www.publicsource.org/pittsburgh-registered-community-organization-program-development-divisive-system/,Pittsburgh,"North Side, Lower East End","Manchester, Chateau",Is Pittsburgh's Registered Community Organization Program fostering unity or division? 🏘️ Join the discussion on neighborhood development! #PittsburghHousing #CommunityVoice
https://www.publicsource.org/moving-dc-to-hometown-pittsburgh-low-cost-self-employed-essay/,"Pittsburgh, Allegheny County",North Side,"Moon Township, Sewickley","""Discover how Pittsburgh's affordability reignited one writer's creativity and helped her escape the D.C. desk job grind. #PittsburghLiving #CreativeFreedom"""
https://www.publicsource.org/manchester-neighbors-rco-registered-community-organization-esplanade-development/,Pittsburgh,North Side,"Manchester, Chateau","""Manchester, Pittsburgh welcomes a second community group to influence the upcoming $740M Esplanade development. Who's ready for city planning with a local touch?"""
https://www.publicsource.org/trump-presidency-potential-changes-pittsburgh-immigration-abortion-environment-infrastructure/,"Pittsburgh, Allegheny County",South Pittsburgh,"Beechview, Coraopolis, Bethel Park, Squirrel Hill","""From deportations to abortion, infrastructure to environment, find out how Pittsburgh could be reshaped by Trump's potential presidency! #PittsburghPolitics"""
