Story,Umbrella,GeographicArea,Neighborhoods,SocialAbstract
https://www.publicsource.org/sewickley-black-history-preservation-book-film-fundraising/,Allegheny County,Northwest suburbs,Sewickley,…
https://www.publicsource.org/biden-blocks-deal-to-sell-u-s-steel-saying-it-should-be-domestically-owned-and-operated/,Allegheny County,Mon Valley,"Braddock, Clairton",…
https://www.publicsource.org/us-steel-sale-block-nippon-pittsburgh-complicated-industrial-past-essay/,Allegheny County,Mon Valley,"Braddock, Clairton",…
https://www.publicsource.org/first-step-recovery-homes-mckeesport-addiction-center-new-facility-housing/,Allegheny County,Mon Valley,Mckeesport,…
https://www.publicsource.org/manchester-esplanade-development-pittsburgh-registered-community-organization-program/,Pittsburgh,North Side,"Manchester, Chateau",…
https://www.publicsource.org/manchester-pittsburgh-registered-community-organization-mcc-neighbors/,Pittsburgh,North Side,"Manchester, Chateau",…
https://www.publicsource.org/pittsburgh-registered-community-organization-program-development-divisive-system/,Pittsburgh,North Side,"Manchester, Chateau",…
https://www.publicsource.org/moving-dc-to-hometown-pittsburgh-low-cost-self-employed-essay/,"Pittsburgh, Allegheny County",Northwest suburbs,"Moon Township, Sewickley",…
https://www.publicsource.org/manchester-neighbors-rco-registered-community-organization-esplanade-development/,Pittsburgh,North Side,"Manchester, Chateau",…
https://www.publicsource.org/trump-presidency-potential-changes-pittsburgh-immigration-abortion-environment-infrastructure/,"Pittsburgh, Allegheny County","Ohio River Valley, South Hills, South Pittsburgh","Beechview, Coraopolis, Bethel Park, Squirrel Hill",…
https://www.publicsource.org/pittsburgh-seniors-black-dementia-alzheimers-caregiver-respite/,"Pittsburgh, Allegheny County","Mon Valley, Upper East End","Swissvale, Larimer",…
https://www.publicsource.org/pittsburgh-planning-commission-inclusionary-zoning-iz-charland-gainey-affordable-housing/,Pittsburgh,"Central Pittsburgh, Upper East End","Polish Hill, Bloomfield, Lawrenceville, Oakland",…
https://www.publicsource.org/allegheny-county-health-board-new-members-sara-innamorato-appointees/,"Pittsburgh, Allegheny County","East suburbs, Lower East End, Mon Valley","Homewood, Hill District, Hazelwood, Wilkinsburg, Penn Hills, Duquesne, Braddock, Clairton, Mckeesport",…
https://www.publicsource.org/smithfield-street-church-repairs-downtown-pittsburgh-revitalization-development/,Pittsburgh,,Downtown,…
https://www.publicsource.org/pittsburgh-most-wanted-graffiti-writer-max-gonzales-muralist-essay/,"Pittsburgh, Allegheny County","Central Pittsburgh, Mon Valley, Upper East End","Garfield, New Kensington, Bloomfield, Observatory Hill, Central Lawrenceville, Swissvale, Rankin, South Side",…
https://www.publicsource.org/pittsburgh-parties-protest-donald-trump-inauguration-mlk-day/,"Pittsburgh, Allegheny County","Mon Valley, North Hills, Upper East End","Shaler, East Liberty, Oakland, Downtown, Swissvale",…
https://www.publicsource.org/downtown-pittsburgh-transformation-six-key-data-points/,Pittsburgh,,Downtown,…
https://www.publicsource.org/allegheny-county-jail-opioid-use-disorder-moud-program-evolution/,Pittsburgh,,"Downtown, North Side",…
https://www.publicsource.org/inclusionary-zoning-pittsburgh-competing-proposals-gainey-charland-planning-commission/,Pittsburgh,"Central Pittsburgh, Upper East End","Polish Hill, Bloomfield, Lawrenceville, Oakland",…
https://www.publicsource.org/pittsburgh-employment-felony-conviction-error-braddock-inclusion-project/,Allegheny County,Mon Valley,Braddock,…
https://www.publicsource.org/inclusionary-zoning-pittsburgh-competing-proposals-gainey-charland-planning-commission/,Pittsburgh,"Central Pittsburgh, Upper East End","Polish Hill, Bloomfield, Lawrenceville, Oakland",…
https://www.publicsource.org/trump-refugee-resettlement-policy-pittsburgh-immigration/,,,,"Pittsburgh is home to burgeoning Burmese, Bhutanese and Congolese communities, among others, thanks to the U.S. Refugee Admissions Program — a path to entry that…"
https://www.publicsource.org/as-the-trump-administration-changes-america-we-want-to-know-how-its-affecting-pittsburghers/,,,,The beginning of President Donald Trump’s second term has been called “dizzying” in relation to the number of substantial changes to U.S. policies and norms.…
https://www.publicsource.org/pittsburgh-queer-history-landmark-preservation-review-commission-lgbtq-activists/,Pittsburgh,Central Pittsburgh,Polish Hill,…
https://www.publicsource.org/pittsburgh-international-students-college-university-donald-trump-executive-order-fears/,Pittsburgh,,Oakland,…
https://www.publicsource.org/inclusionary-zoning-pittsburgh-city-planning-commission-votes-council-mayor-gainey/,Pittsburgh,"Central Pittsburgh, Upper East End","Bloomfield, Polish Hill, Strip District",Citywide inclusionary zoning won an important endorsement from the City Planning Commission early Wednesday morning after the panel narrowly opposed a competing plan that would…
https://www.publicsource.org/federal-funding-grant-loan-pause-stop-trump-administration-pittsburgh-programs/,,,,"Multiple news outlets reported Wednesday that President Donald Trump’s administration had backed off on an announced pause in federal funding, which had caused more than…"
https://www.publicsource.org/pennsylvania-doctors-health-care-providers-pittsburgh-pennsylvania-shapir/,Pittsburgh,Upper East End,Bloomfield,"This story first appeared in How We Care, a weekly newsletter by Spotlight PA featuring original reporting and perspectives on how we care for one…"
https://www.publicsource.org/allegheny-county-property-taxes-assessment-lawsuit-countywide-revamp/,,,,Churchill homeowner Flavia Laun this week filed a lawsuit alleging that Allegheny County assessments are not uniform and violate the state constitution. Laun was featured…
https://www.publicsource.org/garfield-community-garden-pittsburgh-relationships-countering-cynicism-essay/,Pittsburgh,Upper East End,"East Liberty, Garfield","In the aftermath of a sharply polarizing election, it’s more important than ever to focus on the foundational aspects of our community. Since 2020, I’ve…"
https://www.publicsource.org/ed-gainey-corey-oconnor-campaign-fundraising-pittsburgh-mayor-race-2025/,Pittsburgh,Lower East End,"Hazelwood, Point Breeze","The Democratic primary for Pittsburgh mayor is shaping up to be a close one, at least as far as finances go. Mayor Ed Gainey and…"
https://www.publicsource.org/pittsburgh-2050-comprehensive-plan-neighborhoods-input/,Pittsburgh,West End,Sheraden,"Pittsburgh’s planners aim to get input from at least 30,000 Pittsburghers — nearly 1 in 10 city residents — on a comprehensive blueprint for the…"
https://www.publicsource.org/pittsburgh-businesses-day-without-immigrants-protest-trump-deportation/,Pittsburgh,South Pittsburgh,Beechview,More than 60 immigrant-owned and allied businesses in the Pittsburgh area were closed Monday in protest of the Trump administration’s increased immigration enforcement and rhetoric…
https://www.publicsource.org/developmental-disability-diagnoses-pittsburgh-allegheny-county-economy-job-one/,Pittsburgh,"North Side, South Pittsburgh","Brookline, Spring Hill-City View","Artemis knows her shark facts, is learning Spanish and draws colorful cats, upside-down, that practically leap off the page when she turns them right-side-up. How…"
https://www.publicsource.org/pittsburgh-publicsource-interns-2025-steel-city-east-midwest/,,,,A new crop of interns have signed up to help PublicSource tell stories for a better Pittsburgh as we enter a new year and a…
https://www.publicsource.org/pittsburgh-protest-against-donald-trump-elon-musk-john-fetterman/,,,,"Scores of Pittsburghers gathered in front of the Federal Building, Downtown, on Wednesday to protest the early days of the second Trump administration, the influence…"
